广东频道,#genre#
佛山影视,http://116.21.126.59:3333/rtp/239.253.43.56:5146
深圳卫视,http://27.10.76.34:8001/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://27.10.76.34:8006/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://27.10.74.78:8005/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://171.116.35.81:8003/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://111.165.222.109:8000/rtp/225.1.1.117:5002$1920x1080
深圳卫视,http://119.108.155.78:4000/rtp/232.0.0.110:1234$1920x1080
深圳卫视,http://118.81.48.104:8084/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://171.213.133.3:9999/rtp/239.93.0.182:5140$1920x1080
深圳卫视,http://114.246.102.14:4000/rtp/239.3.1.134:8020$1920x1080
深圳卫视,http://27.11.56.206:8007/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://111.167.221.130:8686/rtp/225.1.1.117:5002$1920x1080
深圳卫视,http://27.11.56.206:8002/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://27.10.76.34:8002/rtp/225.0.4.202:7980$1920x1080
深圳卫视,http://118.81.48.104:8085/rtp/226.0.2.147:9088$1920x1080
深圳卫视,http://211.158.153.17:8008/rtp/225.0.4.202:7980$1920x1080
央视频道,#genre#
CCTV-1,http://111.193.230.4:4022/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://115.60.241.249:2000/rtp/225.1.4.73:1102$1920x1080
CCTV-1,http://118.81.48.104:8082/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://118.81.48.104:8085/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://111.165.222.109:8000/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://60.7.56.33:4000/rtp/239.253.92.83:8012$1920x1080
CCTV-1,http://171.116.35.81:8003/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://222.130.86.66:4022/rtp/239.3.1.129:8008$1920x1080
CCTV-1,http://27.9.91.94:8009/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://27.11.56.206:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://111.167.221.130:8686/rtp/225.1.1.120:5002$1920x1080
CCTV-1,http://27.10.76.34:8006/rtp/225.0.4.74:7980$1920x1080
CCTV-1,http://171.116.191.164:8084/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://61.240.57.248:8083/rtp/226.0.2.153:9136$1920x1080
CCTV-1,http://27.11.253.215:8004/rtp/225.0.4.74:7980$1920x1080
CCTV-2,http://60.7.56.33:4000/rtp/239.253.92.190:6065$1920x1080
CCTV-2,http://sweetown.fun:4000/rtp/239.3.1.60:8084$1920x1080
CCTV-2,http://111.193.230.4:4022/rtp/239.3.1.60:8084
CCTV-2,http://115.60.241.249:2000/rtp/225.1.4.74:1103
CCTV-2,http://115.60.241.249:2000/rtp/225.1.4.2:1031
CCTV-2,http://118.81.48.104:8082/rtp/226.0.2.154:9144
CCTV-2,http://118.81.48.104:8082/rtp/226.0.2.19:8064
CCTV-2,http://27.10.76.34:8001/rtp/225.0.4.132:7980
CCTV-2,http://27.10.76.34:8006/rtp/225.0.4.132:7980
CCTV-2,http://27.10.74.78:8005/rtp/225.0.4.132:7980
CCTV-2,http://111.165.222.109:8000/rtp/225.1.1.133:5002
CCTV-2,http://171.105.201.164:4022/rtp/239.81.0.14:4056
CCTV-2,http://171.213.133.3:9999/rtp/239.93.1.23:6000
CCTV-2,http://114.246.102.14:4000/rtp/239.3.1.60:8084
CCTV-2,http://27.11.56.206:8007/rtp/225.0.4.132:7980
CCTV-3,http://60.7.56.33:4000/rtp/239.253.92.191:6057$1920x1080
CCTV-3,http://sweetown.fun:4000/rtp/239.3.1.172:8001$1920x1080
CCTV-3,http://111.193.230.4:4022/rtp/239.3.1.172:8001
CCTV-3,http://115.60.241.249:2000/rtp/225.1.4.158:1194
CCTV-3,http://118.81.48.104:8082/rtp/226.0.2.208:9576
CCTV-3,http://118.81.48.104:8082/rtp/226.0.2.20:8072
CCTV-3,http://27.10.76.34:8001/rtp/225.0.4.142:7980
CCTV-3,http://27.10.76.34:8006/rtp/225.0.4.142:7980
CCTV-3,http://27.10.74.78:8005/rtp/225.0.4.142:7980
CCTV-3,http://111.165.222.109:8000/rtp/225.1.1.158:5002
CCTV-3,http://171.105.201.164:4022/rtp/239.81.0.231:4056
CCTV-3,http://171.213.133.3:9999/rtp/239.93.1.11:2223
CCTV-3,http://114.246.102.14:4000/rtp/239.3.1.172:8001
CCTV-3,http://27.11.56.206:8007/rtp/225.0.4.142:7980
CCTV-3,http://171.116.35.81:8003/rtp/226.0.2.208:9576
CCTV-4,http://sweetown.fun:4000/rtp/239.3.1.213:4220$1920x1080
CCTV-4,http://111.193.230.4:4022/rtp/239.3.1.105:8092
CCTV-4,http://111.193.230.4:4022/rtp/239.3.1.213:4220
